Start,End,W
Серпуховско-Тимирязевская_Пражская,Серпуховско-Тимирязевская_Южная,10
Серпуховско-Тимирязевская_Южная,Серпуховско-Тимирязевская_Чертановская,10
Серпуховско-Тимирязевская_Чертановская,Серпуховско-Тимирязевская_Севастопольская,10
Серпуховско-Тимирязевская_Севастопольская,Серпуховско-Тимирязевская_Нахимовский-Проспект,10
Серпуховско-Тимирязевская_Нахимовский-Проспект,Серпуховско-Тимирязевская_Нагорная,10
Серпуховско-Тимирязевская_Нагорная,Серпуховско-Тимирязевская_Нагатинская,10
Серпуховско-Тимирязевская_Нагатинская,Серпуховско-Тимирязевская_Тульская,10
Серпуховско-Тимирязевская_Тульская,Серпуховско-Тимирязевская_Серпуховская,10
Серпуховско-Тимирязевская_Серпуховская,Кольцевая_Добрынинская,1
Серпуховско-Тимирязевская_Серпуховская,Серпуховско-Тимирязевская_Полянка,10
Серпуховско-Тимирязевская_Полянка,Серпуховско-Тимирязевская_Боровицкая,10
Серпуховско-Тимирязевская_Боровицкая,Филевская_Александровский-сад,1
Серпуховско-Тимирязевская_Боровицкая,Арбатско-Покровская_Арбатская,1
Серпуховско-Тимирязевская_Боровицкая,Сокольническая_Библиотека-имени-Ленина,1
Серпуховско-Тимирязевская_Боровицкая,Серпуховско-Тимирязевская_Чеховская,10
Серпуховско-Тимирязевская_Чеховская,Таганско-Краснопресненская_Пушкинская,1
Серпуховско-Тимирязевская_Чеховская,Замоскворецкая_Тверская,1
Серпуховско-Тимирязевская_Чеховская,Серпуховско-Тимирязевская_Цветной-бульвар,10
Серпуховско-Тимирязевская_Цветной-бульвар,Люблинско-Дмитровская_Трубная,1
Серпуховско-Тимирязевская_Цветной-бульвар,Серпуховско-Тимирязевская_Менделеевская,10
Серпуховско-Тимирязевская_Менделеевская,Кольцевая_Новослободская,1
Серпуховско-Тимирязевская_Менделеевская,Серпуховско-Тимирязевская_Савеловская,10
Серпуховско-Тимирязевская_Савеловская,Большая-Кольцевая-Линия_Савёловская,1
Серпуховско-Тимирязевская_Савеловская,МЦД-1_Савёловская,1
Серпуховско-Тимирязевская_Савеловская,Серпуховско-Тимирязевская_Дмитровская,10
Серпуховско-Тимирязевская_Дмитровская,МЦД-2_Дмитровская,1
Серпуховско-Тимирязевская_Дмитровская,Серпуховско-Тимирязевская_Тимирязевская,10
Серпуховско-Тимирязевская_Тимирязевская,МЦД-1_Тимирязевская,1
Серпуховско-Тимирязевская_Тимирязевская,Серпуховско-Тимирязевская_Петровско-Разумовская,10
Серпуховско-Тимирязевская_Петровско-Разумовская,Люблинско-Дмитровская_Петровско-Разумовская,1
Серпуховско-Тимирязевская_Петровско-Разумовская,Серпуховско-Тимирязевская_Владыкино,10
Серпуховско-Тимирязевская_Владыкино,Центральное-Кольцо_Владыкино,1
Серпуховско-Тимирязевская_Владыкино,Серпуховско-Тимирязевская_Отрадное,10
Серпуховско-Тимирязевская_Отрадное,Серпуховско-Тимирязевская_Бибирево,10
Серпуховско-Тимирязевская_Бибирево,Серпуховско-Тимирязевская_Алтуфьево,10
Люблинско-Дмитровская_Зябликово,Замоскворецкая_Красногвардейская,1
Люблинско-Дмитровская_Зябликово,Люблинско-Дмитровская_Шипиловская,10
Люблинско-Дмитровская_Шипиловская,Люблинско-Дмитровская_Борисово,10
Люблинско-Дмитровская_Борисово,Люблинско-Дмитровская_Марьино,10
Люблинско-Дмитровская_Марьино,Люблинско-Дмитровская_Братиславская,10
Люблинско-Дмитровская_Братиславская,Люблинско-Дмитровская_Люблино,10
Люблинско-Дмитровская_Люблино,Люблинско-Дмитровская_Волжская,10
Люблинско-Дмитровская_Волжская,Люблинско-Дмитровская_Печатники,10
Люблинско-Дмитровская_Печатники,МЦД-2_Кубанская,1
Люблинско-Дмитровская_Печатники,Люблинско-Дмитровская_Кожуховская,10
Люблинско-Дмитровская_Кожуховская,Люблинско-Дмитровская_Дубровка,10
Люблинско-Дмитровская_Дубровка,Центральное-Кольцо_Дубровка,1
Люблинско-Дмитровская_Дубровка,Люблинско-Дмитровская_Крестьянская-застава,10
Люблинско-Дмитровская_Крестьянская-застава,Таганско-Краснопресненская_Пролетарская,1
Люблинско-Дмитровская_Крестьянская-застава,Люблинско-Дмитровская_Римская,10
Люблинско-Дмитровская_Римская,Калининско-Солнцевская_Площадь-Ильича,1
Люблинско-Дмитровская_Римская,МЦД-2_Москва-Товарная,1
Люблинско-Дмитровская_Римская,Люблинско-Дмитровская_Чкаловская,10
Люблинско-Дмитровская_Чкаловская,Кольцевая_Курская,1
Люблинско-Дмитровская_Чкаловская,Арбатско-Покровская_Курская,1
